real_per_class,synthetic_per_real,mean_accuracy,std_accuracy
1,0,0.6960784395535787,0.04999038830498462
1,1,0.6764705975850424,0.04159450001220926
1,2,0.6764705975850424,0.04159450001220926
1,3,0.6666666865348816,0.02772967604077251
2,0,0.7156862616539001,0.02772967604077251
2,1,0.686274508635203,0.036682902750128685
2,2,0.686274508635203,0.036682902750128685
2,3,0.6764705975850424,0.024014603890025795
4,0,0.7450980345408121,0.060435440691624716
4,1,0.7352941036224365,0.048029207780043374
4,2,0.7254901925722758,0.036682923990143855
4,3,0.7156862815221151,0.036682923990143855
8,0,0.843137244383494,0.036682923990143855
8,1,0.8235294222831726,0.048029207780043374
8,2,0.7941176493962606,0.024014603890025795
8,3,0.7941176493962606,0.024014603890025795
10,0,0.8333333333333334,0.01386482397143675
10,1,0.8235294024149576,0.024014603890025795
10,2,0.813725471496582,0.02772967604077251
10,3,0.7941176493962606,0.024014603890025795
