real_per_class,synthetic_per_real,mean_accuracy,std_accuracy,mean_negative_log_likelihood,mean_median_negative_log_likelihood,mean_p90_negative_log_likelihood,mean_max_negative_log_likelihood,mean_brier_score,mean_roc_auc_ovr_macro,mean_expected_calibration_error,mean_confidence_when_correct,mean_confidence_when_incorrect
1,0,0.6960784313725491,0.04999038738816452,1.8081697961885979,0.532522326062006,3.2054228487110437,25.412789167340904,0.5255281685228204,0.9033606309955031,0.2032250196604263,0.6854200520868213,0.6178502606507604
1,1,0.6862745098039215,0.05545935538718016,1.9835275683916882,0.5390567085935588,3.38415517416129,30.029339632928593,0.5374618067497083,0.9035784507715126,0.21362264552401813,0.7071737094491223,0.6350568990806109
1,3,0.6666666666666666,0.04999038738816457,2.1296641838689903,0.5218199942913704,3.667447460951106,33.49584427888314,0.5534467158126127,0.9071791544260955,0.16932003875932078,0.7286176083735388,0.648617936976704
1,6,0.6666666666666666,0.04999038738816457,2.3521050125965286,0.5327802154357747,3.853042096176891,40.22350685540122,0.5584092874665137,0.9086953734800302,0.20198233567775625,0.7509266829096258,0.6892859402245746
1,9,0.6568627450980392,0.03668291555660728,2.3171332860928877,0.5268583817627495,3.9333498862474787,38.00899228440547,0.5710839923689357,0.9036850581248871,0.1873821367564704,0.7479022082774636,0.6831371828783522
2,0,0.715686274509804,0.027729677693590107,2.0012100518672944,0.31512474725191675,3.337949859498444,35.69336359272312,0.488371962458525,0.9124822816246446,0.19017970851615576,0.7869337740506138,0.7188307146945099
2,1,0.6862745098039217,0.03668291555660728,1.982952095321003,0.4584553838563452,3.115186546450889,33.465615470449755,0.5152610091975254,0.9144279233870968,0.148825219417796,0.7426350919176462,0.6498312533535202
2,3,0.6862745098039217,0.03668291555660728,2.026855614089492,0.5152157623905697,3.3892952010884865,31.976196256643494,0.540704232965559,0.9136559986523487,0.18345367324275305,0.7251815391608152,0.6638408839467435
2,6,0.6960784313725491,0.04999038738816452,2.4833209612262004,0.4586140183992882,3.544068938594888,46.40737972011612,0.5488140358761475,0.9138829840016923,0.22872441102208838,0.7627465989875453,0.7341962428381003
2,9,0.6764705882352943,0.024014605321403714,2.6676978368352713,0.5128583563178397,4.14066749557267,49.3370313340159,0.5868337952727808,0.9113915524015287,0.21102485749623498,0.7630109650237845,0.7487342944983469
4,0,0.7450980392156863,0.0604354314016566,1.6508631681512516,0.4480044433398511,3.0740596941378713,27.416697913435133,0.45065115955103097,0.925134690848331,0.17827096272981557,0.7237785502617764,0.6615649036906297
4,1,0.7352941176470589,0.04802921064280738,1.7532068023256446,0.46474666596245995,3.31804946710454,28.493280078527565,0.478232457703954,0.9212485880263447,0.1610394216517172,0.7232136773435491,0.6590139840523466
4,3,0.7156862745098039,0.04999038738816453,1.9215342161722957,0.4475933863634754,3.3171373891713127,33.94165642692121,0.4826944058397828,0.9280496996900641,0.15635140300566336,0.7468253756354416,0.6627104481900676
4,6,0.7058823529411765,0.04802921064280738,2.183840579823625,0.3517503733373634,3.0094146808963096,43.76715093912702,0.4717768389315055,0.9333978674369908,0.16900115967241877,0.8016207826898718,0.6846968161147936
4,9,0.6960784313725491,0.03668291555660728,2.2578034963947924,0.3179489550945807,3.0641623385646066,46.55276858177684,0.4742581235117698,0.93296360940575,0.16510759624812496,0.8180639158345038,0.6778762296846468
6,0,0.7941176470588234,0.024014605321403714,2.042598758956475,0.14929449482782578,2.5792587757530603,47.89326455653767,0.3788855374482449,0.9487155496254148,0.17819825907693276,0.8165150744486319,0.7307227400381695
6,1,0.7549019607843137,0.013864838846795,1.9131231179422425,0.34675584342439175,2.517645453514947,39.04647972915461,0.4251951629269066,0.9408515879764314,0.1572848018836684,0.756664204860989,0.639671847430223
6,3,0.7352941176470589,0.024014605321403665,1.8520367396736581,0.39782024171613334,2.872778254395996,32.704443134716904,0.47180847498094974,0.9302604783151743,0.14108742572040991,0.7272544346665306,0.6397427027444293
6,6,0.7352941176470589,0.024014605321403665,2.150620360184717,0.3018035196984545,2.6355186769010377,45.475969424947486,0.4508025257770809,0.943366301172718,0.1497114238060184,0.7819841238173751,0.6646213823645297
6,9,0.7352941176470589,0.024014605321403665,2.2508567303024956,0.2755256973610943,2.8573528715473144,48.322312393133295,0.46048821644110194,0.9450098503916983,0.1493712476357825,0.7960501530297575,0.6833501046364155
8,0,0.8431372549019608,0.03668291555660728,1.979216148555766,0.13175250687882467,1.956439712664678,49.89954316092985,0.307679413904961,0.960669317849605,0.11379258967614446,0.8282995268505108,0.7066715375524061
8,1,0.8137254901960783,0.03668291555660728,1.9366643811671753,0.2854722045030482,2.2435837656068975,43.61647179363524,0.36301683393817136,0.9523042800999212,0.12481700557323529,0.7688368836590483,0.6425332550077512
8,3,0.7941176470588234,0.024014605321403714,2.0200942111467906,0.30356753724196445,2.473202096990761,44.562425433172706,0.3874674479453905,0.9500597693424794,0.13966406578288612,0.7649648844770364,0.618922816908878
8,6,0.784313725490196,0.013864838846795053,2.2381201113120746,0.20130705623368272,2.4265781761031127,53.797598163862425,0.37417035762981893,0.9574443432814714,0.1402810723224165,0.8160756225660853,0.6372953691443257
8,9,0.7549019607843137,0.02772967769359005,2.0770015999022786,0.3668793030859558,2.670632637461244,43.10269077685882,0.43116466210926213,0.9420751994440643,0.12025717381592432,0.750392122367685,0.6002823673597274
